epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,35840.6,1.67285,1.59936,1.7197,0.63058,0.45778,0.50677,0.26311,1.81585,1.60343,1.85836,0.000544776,0.000544776,0.000544776
70,36356.3,1.66076,1.58857,1.71649,0.62608,0.47281,0.51167,0.26881,1.81069,1.58937,1.85246,0.000528272,0.000528272,0.000528272
71,36875.9,1.67767,1.57359,1.70918,0.64067,0.45988,0.51344,0.26828,1.80516,1.58625,1.83833,0.000511769,0.000511769,0.000511769
72,37394.7,1.66053,1.56428,1.70722,0.636,0.46492,0.51554,0.26914,1.8103,1.57959,1.84393,0.000495266,0.000495266,0.000495266
73,37914.8,1.65556,1.55852,1.70124,0.63498,0.47769,0.52189,0.27687,1.80019,1.56476,1.84634,0.000478762,0.000478762,0.000478762
74,38438.6,1.66502,1.54608,1.69395,0.63827,0.46155,0.51262,0.26795,1.8125,1.58189,1.84809,0.000462259,0.000462259,0.000462259
75,38958.6,1.65528,1.55543,1.70108,0.65014,0.47763,0.52511,0.27347,1.80247,1.57438,1.84195,0.000445756,0.000445756,0.000445756
76,39477.5,1.6485,1.55409,1.70185,0.63956,0.47639,0.51948,0.27375,1.79924,1.56195,1.84155,0.000429253,0.000429253,0.000429253
77,39997.6,1.64624,1.54084,1.69563,0.64124,0.4743,0.51656,0.27103,1.80812,1.578,1.84899,0.000412749,0.000412749,0.000412749
78,40523.6,1.64658,1.54141,1.69246,0.66476,0.46499,0.51985,0.27304,1.80076,1.56004,1.84014,0.000396246,0.000396246,0.000396246
79,41042.3,1.65189,1.54156,1.70576,0.64896,0.47192,0.52225,0.27523,1.78267,1.55319,1.824,0.000379743,0.000379743,0.000379743
80,41558.9,1.61804,1.52771,1.68296,0.63616,0.47319,0.52163,0.27335,1.80398,1.56309,1.84459,0.000363239,0.000363239,0.000363239
81,42078.4,1.63088,1.5132,1.68101,0.65548,0.47177,0.52619,0.27656,1.78836,1.54504,1.83085,0.000346736,0.000346736,0.000346736
82,42597.3,1.62111,1.51706,1.68657,0.66633,0.47529,0.52402,0.2748,1.7954,1.55763,1.83192,0.000330233,0.000330233,0.000330233
83,43118.1,1.63835,1.50988,1.68307,0.65402,0.48162,0.52896,0.27904,1.79033,1.54198,1.83267,0.000313729,0.000313729,0.000313729
84,43638.1,1.60971,1.50988,1.66278,0.65051,0.47532,0.52954,0.28033,1.78954,1.53388,1.822,0.000297226,0.000297226,0.000297226
85,44166.8,1.60712,1.51759,1.66765,0.65221,0.47401,0.52812,0.27817,1.79667,1.55294,1.83027,0.000280723,0.000280723,0.000280723
86,44686.9,1.60728,1.50064,1.66811,0.65503,0.48252,0.52808,0.27815,1.79978,1.54789,1.83176,0.00026422,0.00026422,0.00026422
87,45209.9,1.60613,1.49593,1.67004,0.65806,0.48251,0.53508,0.28326,1.78022,1.52223,1.82131,0.000247716,0.000247716,0.000247716
88,45733.5,1.62048,1.5074,1.67452,0.65125,0.48904,0.53504,0.28207,1.78275,1.51811,1.82391,0.000231213,0.000231213,0.000231213
89,46255.6,1.61042,1.48841,1.66468,0.66447,0.48021,0.53549,0.28431,1.77927,1.5134,1.81985,0.00021471,0.00021471,0.00021471
90,46775.5,1.59685,1.46791,1.66319,0.66709,0.48697,0.53947,0.28726,1.77152,1.5082,1.81383,0.000198206,0.000198206,0.000198206
